Columns	Description
tBodyAcc-mean()-Z	Mean of all mean measurements of time domain body acceleration signals from Accelerometer in Z direction
tBodyAcc-std()-X	Mean of all  Standard Deviation measurements of time domain body acceleration signals from Accelerometer in X direction
tBodyAcc-std()-Y	Mean of all  Standard Deviation measurements of time domain body acceleration signals from Accelerometer in Y direction
tBodyAcc-std()-Z	Mean of all  Standard Deviation measurements of time domain body acceleration  signals from Accelerometer in Z direction
tBodyGyroJerkMag-mean()	Mean of all mean measurements of time domain body acceleration magnitude and jerksignals from Gyrometer 
tBodyGyroJerkMag-std()	Mean of all  Standard Deviation measurements of time domain  body acceleration magnitude and jerk signals from Gyrometer 
tBodyGyroJerk-mean()-X	Mean of all mean measurements of time domain body acceleration signals from Gyrometer in X direction
tBodyGyroJerk-mean()-Y	Mean of all mean measurements of time domain body acceleration signals from Gyrometer in Y direction
tBodyGyroJerk-mean()-Z	Mean of all mean measurements of time domain body acceleration signals from Gyrometer in Z direction
tBodyGyroJerk-std()-X	Mean of all  Standard Deviation measurements of time domain body acceleration signals from Gyrometer in X direction
tBodyGyroJerk-std()-Y	Mean of all  Standard Deviation measurements of time domain body acceleration signals from Gyrometer in Y direction
tBodyGyroJerk-std()-Z	Mean of all  Standard Deviation measurements of time domain body acceleration  signals from Gyrometer in Z direction
tBodyGyroMag-mean()	Mean of all mean measurements of time domain body acceleration magnitude signals from Gyrometer 
tBodyGyroMag-std()	Mean of all  Standard Deviation measurements of time domain body acceleration magnitude signals from Gyrometer 
tBodyGyro-mean()-X	Mean of all mean measurements of time domain body acceleration signals from Gyrometer in X direction
tBodyGyro-mean()-Y	Mean of all mean measurements of time domain body acceleration signals from Gyrometer in Y direction
tBodyGyro-mean()-Z	Mean of all mean measurements of time domain  body acceleration signals from Gyrometer in Z direction
tBodyGyro-std()-X	Mean of all  Standard Deviation measurements of time domain body acceleration signals from Gyrometer in X direction
tBodyGyro-std()-Y	Mean of all  Standard Deviation measurements of time domain body acceleration signals from Gyrometer in Y direction
tBodyGyro-std()-Z	Mean of all  Standard Deviation measurements of time domain body acceleration  signals from Gyrometer in Z direction
tGravityAccMag-mean()	Mean of all mean measurements of time domain gravity acceleration magnitude signals from Accelerometer 
tGravityAccMag-std()	Mean of all  Standard Deviation measurements of time domain gravity acceleration magnitude signals from Accelerometer 
tGravityAcc-mean()-X	Mean of all mean measurements of time domain gravity acceleration signals from Accelerometer in X direction
tGravityAcc-mean()-Y	Mean of all mean measurements of time domain gravity acceleration signals from Accelerometer in Y direction
tGravityAcc-mean()-Z	Mean of all mean measurements of time domain gravity acceleration signals from Accelerometer in Z direction
tGravityAcc-std()-X	Mean of all  Standard Deviation measurements of time domain gravity acceleration signals from Accelerometer in X direction
tGravityAcc-std()-Y	Mean of all  Standard Deviation measurements of time domain gravity acceleration signals from Accelerometer in Y direction
tGravityAcc-std()-Z	Mean of all  Standard Deviation measurements of time domain gravity acceleration  signals from Accelerometer in Z direction
